cod_mun;Município;dom;int;classes_voos_dom_2019;classes_voos_int_2019
1100015;alta floresta d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100023;ariquemes;0;0;1 - sem passageiros;1 - sem passageiros
1100031;cabixi;0;0;1 - sem passageiros;1 - sem passageiros
1100049;cacoal;29720;0;4 - de 10.001 até 100.000;1 - sem passageiros
1100056;cerejeiras;0;0;1 - sem passageiros;1 - sem passageiros
1100064;colorado do oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100072;corumbiara;0;0;1 - sem passageiros;1 - sem passageiros
1100080;costa marques;0;0;1 - sem passageiros;1 - sem passageiros
1100098;espigão d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100106;guajará-mirim;0;0;1 - sem passageiros;1 - sem passageiros
1100114;jaru;0;0;1 - sem passageiros;1 - sem passageiros
1100122;ji-paraná;35184;0;4 - de 10.001 até 100.000;1 - sem passageiros
1100130;machadinho d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100148;nova brasilândia d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100155;ouro preto do oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100189;pimenta bueno;0;0;1 - sem passageiros;1 - sem passageiros
1100205;porto velho;375140;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1100254;presidente médici;0;0;1 - sem passageiros;1 - sem passageiros
1100262;rio crespo;0;0;1 - sem passageiros;1 - sem passageiros
1100288;rolim de moura;0;0;1 - sem passageiros;1 - sem passageiros
1100296;santa luzia d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100304;vilhena;19172;0;4 - de 10.001 até 100.000;1 - sem passageiros
1100320;são miguel do guaporé;0;0;1 - sem passageiros;1 - sem passageiros
1100338;nova mamoré;0;0;1 - sem passageiros;1 - sem passageiros
1100346;alvorada d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100379;alto alegre dos parecis;0;0;1 - sem passageiros;1 - sem passageiros
1100403;alto paraíso;0;0;1 - sem passageiros;1 - sem passageiros
1100452;buritis;0;0;1 - sem passageiros;1 - sem passageiros
1100502;novo horizonte do oeste;0;0;1 - sem passageiros;1 - sem passageiros
1100601;cacaulândia;0;0;1 - sem passageiros;1 - sem passageiros
1100700;campo novo de rondônia;0;0;1 - sem passageiros;1 - sem passageiros
1100809;candeias do jamari;0;0;1 - sem passageiros;1 - sem passageiros
1100908;castanheiras;0;0;1 - sem passageiros;1 - sem passageiros
1100924;chupinguaia;0;0;1 - sem passageiros;1 - sem passageiros
1100940;cujubim;0;0;1 - sem passageiros;1 - sem passageiros
1101005;governador jorge teixeira;0;0;1 - sem passageiros;1 - sem passageiros
1101104;itapuã do oeste;0;0;1 - sem passageiros;1 - sem passageiros
1101203;ministro andreazza;0;0;1 - sem passageiros;1 - sem passageiros
1101302;mirante da serra;0;0;1 - sem passageiros;1 - sem passageiros
1101401;monte negro;0;0;1 - sem passageiros;1 - sem passageiros
1101435;nova união;0;0;1 - sem passageiros;1 - sem passageiros
1101450;parecis;0;0;1 - sem passageiros;1 - sem passageiros
1101468;pimenteiras do oeste;0;0;1 - sem passageiros;1 - sem passageiros
1101476;primavera de rondônia;0;0;1 - sem passageiros;1 - sem passageiros
1101484;são felipe d'oeste;0;0;1 - sem passageiros;1 - sem passageiros
1101492;são francisco do guaporé;0;0;1 - sem passageiros;1 - sem passageiros
1101500;seringueiras;0;0;1 - sem passageiros;1 - sem passageiros
1101559;teixeirópolis;0;0;1 - sem passageiros;1 - sem passageiros
1101609;theobroma;0;0;1 - sem passageiros;1 - sem passageiros
1101708;urupá;0;0;1 - sem passageiros;1 - sem passageiros
1101757;vale do anari;0;0;1 - sem passageiros;1 - sem passageiros
1101807;vale do paraíso;0;0;1 - sem passageiros;1 - sem passageiros
1200013;acrelândia;0;0;1 - sem passageiros;1 - sem passageiros
1200054;assis brasil;0;0;1 - sem passageiros;1 - sem passageiros
1200104;brasiléia;0;0;1 - sem passageiros;1 - sem passageiros
1200138;bujari;0;0;1 - sem passageiros;1 - sem passageiros
1200179;capixaba;0;0;1 - sem passageiros;1 - sem passageiros
1200203;cruzeiro do sul;29666;0;4 - de 10.001 até 100.000;1 - sem passageiros
1200252;epitaciolândia;0;0;1 - sem passageiros;1 - sem passageiros
1200302;feijó;0;0;1 - sem passageiros;1 - sem passageiros
1200328;jordão;0;0;1 - sem passageiros;1 - sem passageiros
1200336;mâncio lima;0;0;1 - sem passageiros;1 - sem passageiros
1200344;manoel urbano;0;0;1 - sem passageiros;1 - sem passageiros
1200351;marechal thaumaturgo;0;0;1 - sem passageiros;1 - sem passageiros
1200385;plácido de castro;0;0;1 - sem passageiros;1 - sem passageiros
1200393;porto walter;0;0;1 - sem passageiros;1 - sem passageiros
1200401;rio branco;0;0;1 - sem passageiros;1 - sem passageiros
1200427;rodrigues alves;0;0;1 - sem passageiros;1 - sem passageiros
1200435;santa rosa do purus;0;0;1 - sem passageiros;1 - sem passageiros
1200450;senador guiomard;0;0;1 - sem passageiros;1 - sem passageiros
1200500;sena madureira;180129;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1200609;tarauacá;0;0;1 - sem passageiros;1 - sem passageiros
1200708;xapuri;0;0;1 - sem passageiros;1 - sem passageiros
1200807;porto acre;0;0;1 - sem passageiros;1 - sem passageiros
1300029;alvarães;0;0;1 - sem passageiros;1 - sem passageiros
1300060;amaturá;0;0;1 - sem passageiros;1 - sem passageiros
1300086;anamã;0;0;1 - sem passageiros;1 - sem passageiros
1300102;anori;0;0;1 - sem passageiros;1 - sem passageiros
1300144;apuí;0;0;1 - sem passageiros;1 - sem passageiros
1300201;atalaia do norte;0;0;1 - sem passageiros;1 - sem passageiros
1300300;autazes;0;0;1 - sem passageiros;1 - sem passageiros
1300409;barcelos;1376;0;3 - de 1.001 até 10.000;1 - sem passageiros
1300508;barreirinha;0;0;1 - sem passageiros;1 - sem passageiros
1300607;benjamin constant;0;0;1 - sem passageiros;1 - sem passageiros
1300631;beruri;0;0;1 - sem passageiros;1 - sem passageiros
1300680;boa vista do ramos;0;0;1 - sem passageiros;1 - sem passageiros
1300706;boca do acre;0;0;1 - sem passageiros;1 - sem passageiros
1300805;borba;0;0;1 - sem passageiros;1 - sem passageiros
1300839;caapiranga;0;0;1 - sem passageiros;1 - sem passageiros
1300904;canutama;0;0;1 - sem passageiros;1 - sem passageiros
1301001;carauari;9537;0;3 - de 1.001 até 10.000;1 - sem passageiros
1301100;careiro;0;0;1 - sem passageiros;1 - sem passageiros
1301159;careiro da várzea;0;0;1 - sem passageiros;1 - sem passageiros
1301209;coari;33672;0;4 - de 10.001 até 100.000;1 - sem passageiros
1301308;codajás;0;0;1 - sem passageiros;1 - sem passageiros
1301407;eirunepé;4164;0;3 - de 1.001 até 10.000;1 - sem passageiros
1301506;envira;0;0;1 - sem passageiros;1 - sem passageiros
1301605;fonte boa;0;0;1 - sem passageiros;1 - sem passageiros
1301654;guajará;0;0;1 - sem passageiros;1 - sem passageiros
1301704;humaitá;0;0;1 - sem passageiros;1 - sem passageiros
1301803;ipixuna;0;0;1 - sem passageiros;1 - sem passageiros
1301852;iranduba;0;0;1 - sem passageiros;1 - sem passageiros
1301902;itacoatiara;0;0;1 - sem passageiros;1 - sem passageiros
1301951;itamarati;0;0;1 - sem passageiros;1 - sem passageiros
1302009;itapiranga;0;0;1 - sem passageiros;1 - sem passageiros
1302108;japurá;0;0;1 - sem passageiros;1 - sem passageiros
1302207;juruá;0;0;1 - sem passageiros;1 - sem passageiros
1302306;jutaí;0;0;1 - sem passageiros;1 - sem passageiros
1302405;lábrea;1046;0;3 - de 1.001 até 10.000;1 - sem passageiros
1302504;manacapuru;0;0;1 - sem passageiros;1 - sem passageiros
1302553;manaquiri;0;0;1 - sem passageiros;1 - sem passageiros
1302603;manaus;1408279;63354;6 - a partir de 1.000.001;4 - de 20.001 até 100.000
1302702;manicoré;0;0;1 - sem passageiros;1 - sem passageiros
1302801;maraã;0;0;1 - sem passageiros;1 - sem passageiros
1302900;maués;546;0;2 - até 1.000;1 - sem passageiros
1303007;nhamundá;0;0;1 - sem passageiros;1 - sem passageiros
1303106;nova olinda do norte;0;0;1 - sem passageiros;1 - sem passageiros
1303205;novo airão;0;0;1 - sem passageiros;1 - sem passageiros
1303304;novo aripuanã;0;0;1 - sem passageiros;1 - sem passageiros
1303403;parintins;16885;0;4 - de 10.001 até 100.000;1 - sem passageiros
1303502;pauini;0;0;1 - sem passageiros;1 - sem passageiros
